
Step	Training Loss
17775	2.348300
17800	1.445400
17825	2.496100
17850	1.587100
17875	2.313200
17900	1.542800
17925	2.368200
17950	1.350900
17975	2.444300
18000	1.665800
18025	2.375400
18050	1.590400
18075	2.341100
18100	1.552200
18125	2.463200
18150	1.355100
18175	2.407700
18200	1.420100
18225	2.236000
18250	1.475500
18275	2.370300
18300	1.398900
18325	2.432100
18350	1.447100
18375	2.507800
18400	1.714800
18425	2.514300
18450	1.688100
18475	2.362600
18500	1.383300
18525	2.413200
18550	1.540600
18575	2.412400
18600	1.469900
18625	2.324800
18650	1.482200
18675	2.482800
18700	1.627300
18725	2.410900
18750	1.481500
18775	2.456300
18800	1.496900
18825	2.502700
18850	1.590200
18875	2.365600
18900	1.330300
18925	2.459400
18950	1.554800
18975	2.321000
19000	1.473000
19025	2.434000
19050	1.550300
19075	2.501600
19100	1.536500
19125	2.505800
19150	1.799400
19175	2.376300
19200	1.480400
19225	2.371300
19250	1.450400
19275	2.335300
19300	1.369200
19325	2.446600
19350	1.634100
19375	2.427900
19400	1.561000
19425	2.458600
19450	1.418700
19475	2.373200
19500	1.491700
19525	2.516800
19550	1.580600
19575	2.366500
19600	1.565800
19625	2.410600
19650	1.526700
19675	2.312100
19700	1.304200
19725	2.427100
19750	1.495300
19775	2.463700
19800	1.633700
19825	2.395300
19850	1.600600
19875	2.422500
19900	1.478800
19925	2.445800
19950	1.457300
19975	2.402800
20000	1.557000
20025	2.285600
20050	1.363300
20075	2.414200
20100	1.340800
20125	2.377100
20150	1.528000
20175	2.371300
20200	1.543100
20225	2.370800
20250	1.507400
20275	2.527200
20300	1.483500
20325	2.314500
20350	1.568000
20375	2.520600
20400	1.471400
20425	2.362200
20450	1.573400
20475	2.462600
20500	1.667500
20525	2.364500
20550	1.442100
20575	2.447200
20600	1.518200
20625	2.406500
20650	1.635200
20675	2.361600
20700	1.385000
20725	2.308300
20750	1.344600
20775	2.388300
20800	1.429500
20825	2.398000
20850	1.663300
20875	2.495300
20900	1.484100
20925	2.483200
20950	1.505000
20975	2.516900
21000	1.461400
21025	2.290500
21050	1.368500
21075	2.395400
21100	1.547700
21125	2.297800
21150	1.392800
21175	2.451300
21200	1.523200
21225	2.414800
21250	1.387600
21275	2.366600
21300	1.377700
21325	2.482600
21350	1.505100
21375	2.347400
21400	1.307600
21425	2.493200
21450	1.647100
21475	2.334000
21500	1.574100
21525	2.405400
21550	1.572300
21575	2.534500
21600	1.531400
21625	2.414600
21650	1.391600
21675	2.390000
21700	1.376400
21725	2.408900
21750	1.446500
21775	2.369900
21800	1.563800
21825	2.502800
21850	1.619800
21875	2.362800
21900	1.348900
21925	2.326400
21950	1.385300
21975	2.378900
22000	1.452500
22025	2.381900
22050	1.291900
22075	2.384500
22100	1.519200
22125	2.403500
22150	1.582300
22175	2.458000
22200	1.536900
22225	2.420900
22250	1.549600
22275	2.366000
22300	1.489600
22325	2.354100
22350	1.423000
22375	2.446500
22400	1.383300
22425	2.358800
22450	1.557800
22475	2.439500
22500	1.630300
22525	2.420300
22550	1.363500
22575	2.479100
22600	1.555500
22625	2.389500
22650	1.490700
22675	2.358000
22700	1.610100
22725	2.361400
22750	1.537400
22775	2.311200
22800	1.422700
22825	2.380700
22850	1.565100
22875	2.460300
22900	1.502800
22925	2.467200
22950	1.420400
22975	2.321200
23000	1.511700
23025	2.439600
23050	1.398800
23075	2.375600
23100	1.509100
23125	2.458600
23150	1.355200
23175	2.410100
23200	1.408400
23225	2.431600
23250	1.451700
23275	2.343900
23300	1.439300
23325	2.349600
23350	1.490500
23375	2.425800
23400	1.399000
23425	2.417200
23450	1.506800
23475	2.342400
23500	1.419300
23525	2.490100
23550	1.544900
23575	2.315900
23600	1.346600
23625	2.464600
23650	1.437600
23675	2.337000
23700	1.348800
23725	2.417800
23750	1.480700
23775	2.379600
23800	1.379300
23825	2.389400
23850	1.485400
23875	2.383100
23900	1.454500
23925	2.391700
23950	1.348200
23975	2.334000
24000	1.371700
24025	2.465800
24050	1.565800
24075	2.330500
24100	1.333200
24125	2.363800
24150	1.431300
24175	2.360900
24200	1.363700
24225	2.314200
24250	1.544300
24275	2.328100
24300	1.385700
24325	2.386500
24350	1.446800
24375	2.447000
24400	1.619900
24425	2.324700
24450	1.252000
24475	2.339200
24500	1.314600
24525	2.419300
24550	1.559100
24575	2.243500
24600	1.318200
24625	2.484700
24650	1.451700
24675	2.428600
24700	1.347700
24725	2.341200
24750	1.299600
24775	2.504100
24800	1.465700
24825	2.416400
24850	1.207300
24875	2.425700
24900	1.441000
24925	2.382600
24950	1.443300
24975	2.352300
25000	1.468300
25025	2.365100
25050	1.333600
25075	2.441900
25100	1.546300
25125	2.388500
25150	1.461500
25175	2.337300
25200	1.493700
25225	2.399500
25250	1.315900
25275	2.335700
25300	1.526200
25325	2.341500
25350	1.393200
25375	2.378500
25400	1.383400
25425	2.316100
25450	1.398500
25475	2.456400
25500	1.397900
25525	2.430100
25550	1.480000
25575	2.392900
25600	1.476900
25625	2.377900
25650	1.559500
25675	2.368300
25700	1.574400
25725	2.455200
25750	1.462400
25775	2.239100
25800	1.471500
25825	2.350500
25850	1.426100
25875	2.401000
25900	1.550300
25925	2.347300
25950	1.475400
25975	2.431000
26000	1.407000
26025	2.393600
26050	1.483200
26075	2.348700
26100	1.511400
26125	2.549700
26150	1.454800
26175	2.325300
26200	1.525100
26225	2.504600
26250	1.571600
26275	2.336400
26300	1.465300
26325	2.487900
26350	1.500600
26375	2.418800
26400	1.381300
26425	2.339900
26450	1.425700
26475	2.296500
26500	1.489000
26525	2.457800
26550	1.594600
26575	2.347300
26600	1.387800
26625	2.414700
26650	1.440600
26675	2.423200
26700	1.431700
26725	2.390100
26750	1.560700
26775	2.397900
26800	1.316600
26825	2.431500
26850	1.455200
26875	2.191700
26900	1.365400
26925	2.384900
26950	1.646200
26975	2.428600
27000	1.536000
27025	2.336700
27050	1.464400
27075	2.561000
27100	1.523600
27125	2.322300
27150	1.487600
27175	2.407900
27200	1.390800
27225	2.423500
27250	1.436400
27275	2.374700
27300	1.477600
27325	2.464600
27350	1.451000
27375	2.316700
27400	1.391600
27425	2.427700
27450	1.502700
27475	2.414000
27500	1.692100
27525	2.354300
27550	1.468400
27575	2.506300
27600	1.528100
27625	2.285700
27650	1.343600
27675	2.307400
27700	1.451300
27725	2.386800
27750	1.581100
27775	2.426100
27800	1.450500
27825	2.459100
27850	1.529100
27875	2.293200
27900	1.322300
27925	2.425000
27950	1.596800
27975	2.387500
28000	1.589000
28025	2.253700
28050	1.450400
28075	2.269200
28100	1.476100
28125	2.344700
28150	1.489100
28175	2.282800
28200	1.410600
28225	2.314500
28250	1.232700
28275	2.273300
28300	1.266400
28325	2.346900
28350	1.454700
28375	2.402800
28400	1.459800
28425	2.343000
28450	1.353300
28475	2.331800
28500	1.455900
28525	2.369700
28550	1.456500
28575	2.404300
28600	1.368100
28625	2.451900
28650	1.453700
28675	2.396100
28700	1.627700
28725	2.349900
28750	1.406100
28775	2.323700
28800	1.538000
28825	2.242200
28850	1.459900
28875	2.307300
28900	1.304000
28925	2.440200
28950	1.427900
28975	2.434600
29000	1.520200
29025	2.345900
29050	1.441100
29075	2.327700
29100	1.410200
29125	2.281400
29150	1.287800
29175	2.395100
29200	1.440500
29225	2.322300
29250	1.358200
29275	2.343900
29300	1.275200
29325	2.343400
29350	1.617700
29375	2.359200
29400	1.348600
29425	2.415900
29450	1.564500
29475	2.322800
29500	1.474800
29525	2.335000
29550	1.466400
29575	2.415900
29600	1.400500
29625	2.395900
29650	1.384200
29675	2.556700
29700	1.495800
29725	2.429500
29750	1.392100
29775	2.344500
29800	1.534900
29825	2.265700
29850	1.428100
29875	2.385400
29900	1.447200
29925	2.326500
29950	1.525700
29975	2.368800
30000	1.542600
30025	2.473100
30050	1.441400
30075	2.269900
30100	1.402100
30125	2.348400
30150	1.397800
30175	2.436800
30200	1.565000
30225	2.405500
30250	1.438300
30275	2.304900
30300	1.297800
30325	2.337200
30350	1.504900
30375	2.313600
30400	1.507300
30425	2.291200
30450	1.355200
30475	2.387000
30500	1.386900
30525	2.429300
30550	1.477400
30575	2.440500
30600	1.459900
30625	2.396400
30650	1.519400
30675	2.345300
30700	1.511500
30725	2.337400
30750	1.430000
30775	2.430700
30800	1.614200
30825	2.295700
30850	1.346500
30875	2.341600
30900	1.450000
30925	2.370900
30950	1.422700
30975	2.432700
31000	1.317900
31025	2.375700
31050	1.438200
31075	2.358600
31100	1.431900
31125	2.483500
31150	1.516400
31175	2.378400
31200	1.545000
31225	2.380500
31250	1.503000
31275	2.386000
31300	1.488000
31325	2.260800
31350	1.382700
31375	2.326200
31400	1.411800
31425	2.336800
31450	1.447400
31475	2.363400
31500	1.543100
31525	2.390200
31550	1.592700
31575	2.309900
31600	1.564600
31625	2.331100
31650	1.434600
31675	2.466900
31700	1.498800
31725	2.376900
31750	1.454100
31775	2.303000
31800	1.275900
31825	2.299200
31850	1.390100
31875	2.372600
31900	1.420000
31925	2.422500
31950	1.478300
31975	2.224100
32000	1.281000
32025	2.391700
32050	1.444700
32075	2.404100
32100	1.455800
32125	2.255500
32150	1.355500
32175	2.342900
32200	1.479300
32225	2.261800
32250	1.466500
32275	2.356500
32300	1.565700
32325	2.423900
32350	1.534700
32375	2.381600
32400	1.449100
32425	2.496200
32450	1.437500
32475	2.348900
32500	1.469400
32525	2.255800
32550	1.413500
32575	2.367100
32600	1.395700
32625	2.461800
32650	1.592300
32675	2.237100
32700	1.291300
32725	2.315000
32750	1.323900
32775	2.234400
32800	1.329900
32825	2.386100
32850	1.456300
32875	2.292200
32900	1.515400
32925	2.471800
32950	1.442400
32975	2.318600
33000	1.414200
33025	2.356100
33050	1.436700
33075	2.446200
33100	1.420500
33125	2.332500
33150	1.519400
33175	2.301400
33200	1.391400
33225	2.338800
33250	1.463500
33275	2.304700
33300	1.358200
33325	2.446900
33350	1.675000
33375	2.298000
33400	1.346600
33425	2.377000
33450	1.240500
33475	2.430400
33500	1.560400
33525	2.418700
33550	1.303700
33575	2.473600
33600	1.509000
33625	2.396100
33650	1.387300
33675	2.356100
33700	1.375000
33725	2.384000
33750	1.458700
33775	2.440600
33800	1.438700
33825	2.248300
33850	1.252200
33875	2.283800
33900	1.388700
33925	2.238800
33950	1.317600
33975	2.260700
34000	1.369600
34025	2.327300
34050	1.457700
34075	2.231900
34100	1.390900
34125	2.331700
34150	1.380400
34175	2.418600
34200	1.537700
34225	2.391200
34250	1.394600
34275	2.273000
34300	1.458300
34325	2.297400
34350	1.526400
34375	2.344900
34400	1.406500
34425	2.420800
34450	1.762500
34475	2.269100
34500	1.359300
34525	2.301800
34550	1.606800
34575	2.289400
34600	1.426600
34625	2.379000
34650	1.446800
34675	2.319600
34700	1.366600
34725	2.272500
34750	1.446800
34775	2.286700
34800	1.491700
34825	2.290300
34850	1.358800
34875	2.282200
34900	1.486000
34925	2.385400
34950	1.542900
34975	2.397500
35000	1.478900
35025	2.372000
35050	1.564900
35075	2.449200
35100	1.512200
35125	2.340200
35150	1.458600
35175	2.327200
35200	1.571800
35225	2.470300
35250	1.496900
35275	2.332700
35300	1.595800
35325	2.359800
35350	1.501900
35375	2.381800
35400	1.507400
35425	2.258700
35450	1.402400
35475	2.402400
35500	1.525900
35525	2.378600
35550	1.547700
35575	2.362400
35600	1.360400
35625	2.280200
35650	1.238600
35675	2.332300
35700	1.390000
35725	2.431300
35750	1.520400
35775	2.271200
35800	1.319300
35825	2.362300
35850	1.415500
35875	2.287200
35900	1.401500
35925	2.337800
35950	1.515800
35975	2.380600
36000	1.485700
36025	2.271200
36050	1.429800
36075	2.392000
36100	1.554000
36125	2.345500
36150	1.373700
36175	2.266400
36200	1.382000
36225	2.411600
36250	1.633900
36275	2.336700
36300	1.377800
36325	2.308900
36350	1.373500
36375	2.472700
36400	1.415000
36425	2.372100
36450	1.374000
36475	2.427200
36500	1.427400
36525	2.229200
36550	1.497800
36575	2.438600
36600	1.513300
36625	2.489400
36650	1.481300
36675	2.340300
36700	1.462400
36725	2.395000
36750	1.434100
36775	2.329000
36800	1.555800
36825	2.336200
36850	1.343400
36875	2.353900
36900	1.491100
36925	2.346600
36950	1.796000
36975	2.308300
37000	1.574300
37025	2.368000
37050	1.415600
37075	2.370500
37100	1.467800
37125	2.234100
37150	1.289900
37175	2.401800
37200	1.484200
37225	2.239500
37250	1.520700
37275	2.455900
37300	1.384800
37325	2.411600
37350	1.465700
37375	2.347300
37400	1.591300
37425	2.400700
37450	1.425400
37475	2.400500
37500	1.471100
37525	2.386800
37550	1.612600
37575	2.210100
37600	1.290200
37625	2.476400
37650	1.590400
37675	2.442700
37700	1.426200
37725	2.419600
37750	1.467200
37775	2.385900
37800	1.463300
37825	2.400000
37850	1.515600
37875	2.353000
37900	1.410700
37925	2.296100
37950	1.454800
37975	2.435600
38000	1.424200
38025	2.130600
38050	1.366100
38075	2.404800
38100	1.278100
38125	2.248900
38150	1.410800
38175	2.283600
38200	1.330700
38225	2.394700
38250	1.535100
38275	2.416500
38300	1.503200
38325	2.310200
38350	1.462700
38375	2.356100
38400	1.507700
38425	2.429300
38450	1.416400
38475	2.395600
38500	1.368900
38525	2.268200
38550	1.533300
38575	2.479800
38600	1.398200
38625	2.276000
38650	1.502300
38675	2.314200
38700	1.391000
38725	2.309000
38750	1.562700
38775	2.459100
38800	1.558000
38825	2.250800
38850	1.578100
38875	2.306400
38900	1.316400
38925	2.358200
38950	1.539800
38975	2.346700
39000	1.521000
39025	2.401100
39050	1.464200
39075	2.311600
39100	1.352200
39125	2.315100
39150	1.359600
39175	2.337000
39200	1.543300
39225	2.395300
39250	1.540200
39275	2.480800
39300	1.576100
39325	2.297900
39350	1.328100
39375	2.359800
39400	1.378300
39425	2.323300
39450	1.314600
39475	2.326200
39500	1.415300
39525	2.341600
39550	1.392600
39575	2.395700
39600	1.365000
39625	2.371400
39650	1.448800
39675	2.375200
39700	1.450200
39725	2.245100
39750	1.284100
39775	2.361900
39800	1.402200
39825	2.418600
39850	1.507200
39875	2.344500
39900	1.447600
39925	2.376400
39950	1.397700
39975	2.314900
40000	1.525000
40025	2.418200
40050	1.606800
40075	2.243000
40100	1.279000
40125	2.420900
40150	1.471700
40175	2.326300
40200	1.315000
40225	2.365500
40250	1.476400
40275	2.381300
40300	1.456800
40325	2.277400
40350	1.284000
40375	2.342600
40400	1.389200
40425	2.271400
40450	1.419500
40475	2.425700
40500	1.440400
40525	2.223100
40550	1.304900
40575	2.320500
40600	1.417600
40625	2.410400
40650	1.558900
40675	2.335500
40700	1.351500
40725	2.260000
40750	1.343400
40775	2.320400
40800	1.282400
40825	2.363500
40850	1.437900
40875	2.181100
40900	1.286300
40925	2.351500
40950	1.520200
40975	2.289600
41000	1.347600
41025	2.343300
41050	1.393900
41075	2.393900
41100	1.585600
41125	2.286600
41150	1.424600
41175	2.324200
41200	1.505100
41225	2.420500
41250	1.456100
41275	2.349400
41300	1.400100
41325	2.373300
41350	1.421000
41375	2.337000
41400	1.393000
41425	2.192700
41450	1.408700
41475	2.394700
41500	1.288600
41525	2.356900
41550	1.379100
41575	2.336500
41600	1.397700
41625	2.351100
41650	1.323400
41675	2.395100
41700	1.432600
41725	2.263100
41750	1.261400
41775	2.409600
41800	1.371200
41825	2.279400
41850	1.258800
41875	2.372400
41900	1.421700
41925	2.355800
41950	1.695200
41975	2.356600
42000	1.556900
42025	2.349500
42050	1.292800
42075	2.428500
42100	1.459500
42125	2.378800
42150	1.419400
42175	2.287700
42200	1.337600
42225	2.298900
42250	1.364900
42275	2.347600
42300	1.391200
42325	2.216200
42350	1.352700
42375	2.237800
42400	1.403800
42425	2.378800
42450	1.481400
42475	2.344400
42500	1.297000
42525	2.334600
42550	1.355000
42575	2.417900
42600	1.292900
42625	2.138000
42650	1.371200
42675	2.406100
42700	1.485600
42725	2.273600
42750	1.302300
42775	2.265500
42800	1.517800
42825	2.268000
42850	1.438300
42875	2.340800
42900	1.548600
42925	2.196200
42950	1.265400
42975	2.303100
43000	1.549400
43025	2.345300
43050	1.495900
43075	2.420200
43100	1.403100
43125	2.460000
43150	1.639900
43175	2.311800
43200	1.430800
43225	2.343800
43250	1.373300
43275	2.373600
43300	1.562700
43325	2.270800
43350	1.565700
43375	2.248000
43400	1.430900
43425	2.350900
43450	1.529100
43475	2.312900
43500	1.371600
43525	2.246200
43550	1.339900
43575	2.430500
43600	1.529500
43625	2.257700
43650	1.444500
43675	2.281200
43700	1.535000
43725	2.324500
43750	1.426300
43775	2.377700
