Step	Training Loss
13400	1.204600
13425	1.606800
13450	1.332300
13475	1.660900
13500	1.332700
13525	1.671100
13550	1.364200
13575	1.630500
13600	1.305600
13625	1.579400
13650	1.349900
13675	1.638100
13700	1.340000
13725	1.663800
13750	1.320900
13775	1.619500
13800	1.288900
13825	1.605900
13850	1.272400
13875	1.655700
13900	1.380000
13925	1.668900
13950	1.325800
13975	1.690500
14000	1.293100
14025	1.627300
14050	1.261900
14075	1.588500
14100	1.267400
14125	1.621800
14150	1.338500
14175	1.667200
14200	1.259900
14225	1.643600
14250	1.302600
14275	1.640600
14300	1.291700
14325	1.606000
14350	1.364100
14375	1.690700
14400	1.349100
14425	1.610300
14450	1.293100
14475	1.659300
14500	1.303500
14525	1.608700
14550	1.334200
14575	1.710700
14600	1.280000
14625	1.604700
14650	1.284400
14675	1.619900
14700	1.245400
14725	1.643500
14750	1.296900
14775	1.638600
14800	1.329300
14825	1.631700
14850	1.312300
14875	1.615600
14900	1.274400
14925	1.650700
14950	1.281300
14975	1.643600
15000	1.335700
15025	1.694900
15050	1.269300
15075	1.655300
15100	1.303600
15125	1.591400
15150	1.335800
15175	1.593500
15200	1.290700
15225	1.663900
15250	1.328500
15275	1.680400
15300	1.282900
15325	1.617700
15350	1.276600
15375	1.651700
15400	1.293300
15425	1.657400
15450	1.244300
15475	1.634700
15500	1.331600
15525	1.620000
15550	1.299700
15575	1.673200
15600	1.275000
15625	1.633400
15650	1.321800
15675	1.683400
15700	1.299000
15725	1.625000
15750	1.231500
15775	1.585900
15800	1.281200
15825	1.643900
15850	1.289900
15875	1.614900
15900	1.325800
15925	1.637800
15950	1.312500
15975	1.600000
16000	1.193800
16025	1.631400
16050	1.260300
16075	1.613900
16100	1.280000
16125	1.622400
16150	1.312100
16175	1.566600
16200	1.270900
16225	1.632600
16250	1.302700
16275	1.637500
16300	1.259100
16325	1.593600
16350	1.233600
16375	1.609400
16400	1.237400
16425	1.653200
16450	1.271000
16475	1.603700
16500	1.275300
16525	1.671700
16550	1.274100
16575	1.662400
16600	1.235100
16625	1.618200
16650	1.283100
16675	1.586700
16700	1.232700
16725	1.602800
16750	1.301800
16775	1.613900
16800	1.330300
16825	1.617600
16850	1.255300
16875	1.612000
16900	1.319000
16925	1.626300
16950	1.284100
16975	1.615600
17000	1.280500
17025	1.649800
17050	1.309300
17075	1.629000
17100	1.279000
17125	1.633300
17150	1.332600
17175	1.602700
17200	1.256600
17225	1.621500
17250	1.258900
17275	1.637600
17300	1.275300
17325	1.645500
17350	1.287000
17375	1.622300
17400	1.338500
17425	1.667000
17450	1.268800
17475	1.639200
17500	1.346900
