Step	Training Loss
24500	1.142400
24525	1.702000
24550	1.278400
24575	1.635800
24600	1.143400
24625	1.734800
24650	1.243100
24675	1.695200
24700	1.219300
24725	1.682800
24750	1.187800
24775	1.768200
24800	1.265600
24825	1.708000
24850	1.128100
24875	1.716200
24900	1.253800
24925	1.691800
24950	1.260900
24975	1.659200
25000	1.209300
25025	1.681200
25050	1.152900
25075	1.708600
25100	1.271300
25125	1.719400
25150	1.271300
25175	1.662000
25200	1.320100
25225	1.691600
25250	1.200500
25275	1.670500
25300	1.313400
25325	1.701000
25350	1.216900
25375	1.696800
25400	1.247000
25425	1.658600
25450	1.245100
25475	1.723300
25500	1.218600
25525	1.733800
25550	1.254100
25575	1.692700
25600	1.256700
25625	1.707100
25650	1.281100
25675	1.663200
25700	1.298700
25725	1.714900
25750	1.276400
25775	1.630500
25800	1.260600
25825	1.650000
25850	1.220100
25875	1.723500
25900	1.290800
25925	1.696400
25950	1.227200
25975	1.726600
26000	1.217800
26025	1.711800
26050	1.294800
26075	1.681000
26100	1.317700
26125	1.769000
26150	1.216800
26175	1.651600
26200	1.310400
26225	1.749100
26250	1.333900
26275	1.670200
26300	1.236200
26325	1.765000
26350	1.253500
26375	1.732500
26400	1.178100
26425	1.693900
26450	1.235200
26475	1.640700
26500	1.262700
26525	1.749700
26550	1.321800
26575	1.673000
26600	1.212500
26625	1.753200
26650	1.217600
26675	1.726200
26700	1.225500
26725	1.701400
26750	1.286800
26775	1.708800
26800	1.153800
26825	1.715700
26850	1.223500
26875	1.611000
26900	1.185900
26925	1.709400
26950	1.313700
26975	1.701400
27000	1.250500
27025	1.679300
27050	1.252100
27075	1.869100
27100	1.273400
27125	1.648900
27150	1.250500
27175	1.730400
27200	1.227600
27225	1.747500
27250	1.210100
27275	1.696500
27300	1.276000
27325	1.755900
27350	1.225200
27375	1.645900
27400	1.191500
27425	1.751200
27450	1.301200
27475	1.689400
27500	1.397700
27525	1.721500
27550	1.232900
27575	1.776900
27600	1.293300
27625	1.650700
27650	1.214300
27675	1.624600
27700	1.233700
27725	1.687700
27750	1.341500
27775	1.742400
27800	1.242800
27825	1.772700
27850	1.317300
27875	1.640700
27900	1.196800
27925	1.773100
27950	1.344100
27975	1.669600
28000	1.341200
28025	1.677700
28050	1.256700
28075	1.672200
28100	1.272300
28125	1.641000
28150	1.267400
28175	1.649300
28200	1.242600
28225	1.662300
28250	1.116000
28275	1.627400
28300	1.118800
28325	1.675200
28350	1.235900
28375	1.719400
28400	1.283800
28425	1.658000
28450	1.182700
28475	1.662600
28500	1.242900
28525	1.680600
28550	1.274500
28575	1.717000
28600	1.172600
28625	1.763300
28650	1.249800
28675	1.735900
28700	1.325500
28725	1.682200
28750	1.201800
28775	1.645500
28800	1.309100
28825	1.629000
28850	1.260300
28875	1.648100
28900	1.163500
28925	1.722300
28950	1.245100
28975	1.721200
29000	1.268200
29025	1.669800
29050	1.228900
29075	1.663100
29100	1.233200
29125	1.614100
29150	1.137500
29175	1.723000
29200	1.235200
29225	1.654700
29250	1.215900
29275	1.725100
29300	1.128400
29325	1.659100
29350	1.328300
29375	1.701600
29400	1.183000
29425	1.748500
29450	1.306600
29475	1.658000
29500	1.215400
29525	1.702400
29550	1.256600
29575	1.743500
29600	1.209800
29625	1.699400
29650	1.266700
29675	1.798000
29700	1.271400
29725	1.736900
29750	1.241700
29775	1.710600
29800	1.331500
29825	1.615800
29850	1.239400
29875	1.703800
29900	1.280600
29925	1.665300
29950	1.263800
29975	1.726100
30000	1.291700
30025	1.717800
30050	1.294400
30075	1.635200
30100	1.212900
30125	1.661200
30150	1.197000
30175	1.681100
30200	1.331900
30225	1.708300
30250	1.245900
30275	1.729400
30300	1.120100
30325	1.717700
30350	1.296000
30375	1.644400
30400	1.280700
30425	1.667700
30450	1.173700
30475	1.698800
30500	1.226600
30525	1.706800
30550	1.273100
30575	1.746300
30600	1.293800
30625	1.703700
30650	1.317300
30675	1.664500
30700	1.307100
30725	1.694900
30750	1.244700
30775	1.754600
30800	1.332400
30825	1.632000
30850	1.179900
30875	1.676300
30900	1.249400
30925	1.696500
30950	1.219600
30975	1.748500
31000	1.165200
31025	1.679900
31050	1.215800
31075	1.666100
31100	1.222400
31125	1.742000
31150	1.279100
31175	1.708100
31200	1.297900
31225	1.746400
31250	1.254200
31275	1.659000
31300	1.245700
31325	1.623100
31350	1.242500
31375	1.707500
31400	1.233100
31425	1.690600
31450	1.244200
31475	1.700600
31500	1.284300
31525	1.732800
31550	1.332900
31575	1.682300
31600	1.309200
31625	1.655500
31650	1.248600
31675	1.728200
31700	1.273900
31725	1.681300
31750	1.259800
31775	1.637000
31800	1.171000
31825	1.679100
31850	1.232200
31875	1.721700
31900	1.238700
31925	1.710100
31950	1.280600
31975	1.634200
32000	1.148300
32025	1.708500
32050	1.228000
32075	1.671300
32100	1.284700
32125	1.629700
32150	1.229000
32175	1.660200
32200	1.252400
32225	1.681500
32250	1.267500
32275	1.667300
32300	1.318300
32325	1.630800
32350	1.327500
32375	1.742700
32400	1.229700
32425	1.801300
32450	1.238000
32475	1.656100
32500	1.256600
32525	1.647300
32550	1.199800
32575	1.705000
32600	1.236500
32625	1.711300
32650	1.320900
32675	1.639200
32700	1.143700
32725	1.661800
32750	1.136600
32775	1.620900
32800	1.119400
32825	1.744700
32850	1.237200
32875	1.658200
32900	1.293900
